ko,en,ja,it,es
물속에 가라앉다.,Submerged in water.,水の中に沈む,Immerso nell'acqua.,Sumergido en el agua.
We'll meet again,We'll meet again,We'll meet again,Ci incontreremo di nuovo,Nos volveremos a encontrar
하늘이 보이는 곳,Skyscape,空が見える場所,Paesaggio celeste,Celestial
땅에 대한 기억,Memories of Land,陸地の記憶,Ricordi della terra,Recuerdos de la tierra
기습 공격,Surprise Attack,奇襲攻撃,Attacco a sorpresa,Ataque sorpresa
거대한 방주,Big Ark,巨大方舟,Grande arca,Gran arca
선택받은 자,The Chosen One,選ばれし者,Il prescelto,El elegido
펍 주인과의 약속,Promise with the Pub Owner,パブマスターとの約束,Promessa del proprietario del pub,Promesa con el dueño del bar
확인,Confirm,確認,Conferma,Confirmar
채집,Collect,採集,Raccogli,Coger
이동,Go,移動,Vai,Ir
올라가기,Go Up,上がる,Vai su,Subir
내려가기,Go Down,下りる,Vai giù,Bajar
획득,Obtain,獲得,Ottieni,Obtener
열기,Open,開ける,Apri,Abrir
수확,Harvest,収穫,Raccolto,Recolectar
수레,Cart,台車,Carrello,Carro
도착,Place here,到着,Posiziona qui,Poner aquí
투척,Throw,投擲,Getta,Lanzar
잡기,Grab,捕まえる,Prendi,Coger
숨기기,Hide,隠す,Nascondi,Ocultar
cctv,CCTV,防犯カメラ,Telecamera a circuito chiuso,CCTV
읽기,Read,読む,Leggi,Leer
대화하기,Talk,会話する,Parla,Hablar
상류층으로....,To the elites...,三流層に…,Verso le élite...,A las élites...
약,Medicine,薬,Medicina,Medicina
순간의 선택,In-the-Moment Decision,瞬間の選択,Decisione presa sul momento,Decisión al momento
독살,Poison,毒殺,Veleno,Veneno
잠수부,Diver,潜水士,Sommozzatore,Buceador
할아버지의 요청,Grandfather's Request,おじいさんの頼み,Richiesta del nonno,Petición del abuelo
관리자의 요구,Manager's Demand,管理者の要求,Richiesta del direttore,Exigencia del supervisor
알바의 시작,Beginning of a Part-Time Job,アルバイトの始まり,Inizio di un lavoro part time,Comienzo del trabajo a media jornada
펍 주인의 요구,Pub Owner's Demand,パブマスターの要求,Richiesta del proprietario del pub,Exigencia del dueño del pub
할아버지와 체스,Grandfather and Chess,おじいさんとチェス,Il nonno e gli scacchi,El abuelo y el ajedrez
뜻밖의 정전,Unexpected Outage,まさかの停電,Blackout inaspettato,Apagón inesperado
비밀번호,Password,暗証番号,Password,Contraseña
술값...,Liquor money...,飲み代…,Denaro liquoroso...,Dinero de alcohol
강철문 비밀번호,Steel Door Password,鋼鉄の扉の暗証番号,Password della porta d’acciaio,Contraseña Portón de acero
수확의 정석,The Art of Harvesting,収穫の定石,L'arte della raccolta,El arte de la recolección
정식농부 시험,Official Farmer Test,正式農民試験,Test di contadino ufficiale,Examen de maestro granjero
출입 카드,Access Card,アクセスカード,Scheda di accesso,Tarjeta de acceso
해조류 채집,Collect Seaweed,海藻採集,Raccogli le alghe,Recoger alga
위험한 선택,Dangerous Decision,危ない選択,Decisione pericolosa,Decisión peligrosa
마지막 열쇠,Last Key,最後の鍵,Ultima chiave,Última llave
이 사람을 농장으로,Bring this person to the farm,この人を農場に,Porta questa persona alla fattoria,Lleva a esta persona a la granja
제어의 시작,Start of Control,制御の始まり,Inizio del controllo,Comienzo del control
뜻밖의 고통,Unexpected Suffering,想定外の苦しみ,Sofferenza inaspettata,Sufrimiento inesperado
컴퓨터 수리공,Computer Repair Technician,コンピューター修理屋,Tecnico riparatore di computer,Técnico informático
출항 계획,Departure Schedule,出港計画,Orario di partenza,Horarios de salida
탈출의 시작,Star of the escape,脱出開始,Stella della fuga,Comienzo de la huida
잠수정 열쇠 획득,Obtain Submarine Key,潜水艇の鍵獲得,Ottieni la chiave del sottomarino,Obtener llave del submarino
라이터를 켜라,Light the lighter,ライターをつけろ,Accendi la fiamma dell'accendino,Encender el mechero
칵테일,Cocktail,カクテル,Cocktail,Cóctel
시체 운반,Move Dead Body,死体運搬,Sposta il cadavere,Mover cadáver
눈을 돌려라,Avert your eyes,目を回せ,Distogli lo sguardo,Desvía la mirada
학교로 가는길,The Way to School,学校にいく道,La strada per la scuola,Camino a la escuela
입구를 막아라,Block the entrance,入り口を塞げ,Blocca l'ingresso,Bloquear la entrada
모두를 잠재워라,Put everyone to sleep,全員眠らせろ,Addormenta tutti,Dormir a todos
가드 운반,Move Dead Security Guard,ガード運搬,Sposta la guardia di sicurezza morta,Mover el cadáver del guardia de seguridad
바닷속,Under the Sea,海の中,In fondo al mare,Bajo el mar
선착장,Dock,船着場,Molo,Muelle
숙소,Accommodation,寮,Alloggio,Dormitorios
배,Ship,船,Nave,Barco
해조류 작업장,Seaweed Workshop,海藻作業場,Magazzino di alghe,Granja de algas
환풍구,Air Vent,換気口,Condotto di aerazione,Conducto de ventilación
램프타운 창고,Lamp Town Warehouse,ランプタウン倉庫,Magazzino di Lamp Town,Almacén de Ciudad Farol
램프 타운,Lamp Town,ランプタウン,Lamp Town,Ciudad Farol
강철문,Steel Door,鋼鉄の扉,Porta d’acciaio,Portón de acero
철물점,Hardware Store,工具屋,Negozio di ferramenta,Tienda de electrónica
예배당,Chapel,礼拝堂,Cappella,Capilla
농장,Farm,農場,Fattoria,Granja
숙소,Accommodation,寮,Alloggio,Dormitorios
농기구 보관실,Farming Equipment Storage Room,農機具保管室,Ripostiglio per attrezzature agricole,Sala de máquinas: granja
농부 관리실,Farmer Management Office,農民管理室,Ufficio amministrativo del contadino,Despacho del jefe de la granja
과수원,Orchard,果樹園,Frutteto,Vergel
밭,Field,畑,Campo,Campo
창고,Warehouse,倉庫,Magazzino,Almacén
관리자 방,Manager's Room,管理者の部屋,Stanza del direttore,Oficina del supervisor
공장,Factory,工場,Fabbrica,Fábrica
병원,Hospital,病院,Ospedale,Hospital
기계실,Machinery Room,機械室,Sala macchine,Sala de máquinas
공장장방,Plant Manager's Room,工場長の部屋,Stanza del direttore della centrale,Oficina del supervisor de la plantación
휴게실,Lounge,休憩室,Sala,Estancia
메인 기계실,Main Machinery Room,メイン機械室,Sala macchine principale,Sala de máquinas central
발전실,Generator Room,発電室,Sala del generatore,Sala del generador
닻 관리실,Anchor Management Office,錨管理室,Ufficio amministrativo con l’ancora,Sala del ancla
잠수함실,Submarine Room,潜水艦室,Sala del sottomarino,Sala del submarino
심해,Deep Sea,深海,Mare profondo,Aguas profundas
비상구역,Emergency Zone,非常区域,Zona di emergenza,Sala de emergencia
보안 검색대,Security Check Point,セキュリティチェック,Checkpoint di sicurezza,Puesto de seguridad
파티장,Party Venue,パーティー会場,Locale per feste,Salón
수영장,Swimming Pool,プール,Piscina,Piscina
비밀감옥,Secret Prison,秘密監獄,Prigione segreta,Cárcel secreta
외벽,Outer Wall,外壁,Mura esterne,Muro exterior
통로,Path,通路,Percorso,Camino
주방,Kitchen,厨房,Cucina,Cocina
주거지역,Residential Area,住居地域,Area residenziale,Zona residencial
대학,University,大学,Università,Universidad
분수대,Fountain,噴水台,Fontana,Fuente
공원,Park,公園,Parco,Parque
기록실 복도,Record Library Corridor,記録室の廊下,Corridoio della libreria dei record,Grabar pasillo de la biblioteca
기록실,Record Library,記録室,Libreria dei record,Grabar biblioteca
조타실 복도,Wheelhouse Corridor,操舵室の廊下,Corridoio della timoneria,Pasillo del puente de mando
조타실,Wheelhouse,操舵室,Timoneria,Puente de mando
복도,Corridor,廊下,Corridoio,Pasillo
강철문,Steel Door,鋼鉄の扉,Porta d’acciaio,Portón de acero
지도자층 복도,Leader's Floor Corridor,指導者階の廊下,Corridoio del piano del comandante,Pasillo del piso del líder
지도자 방,Leader's Room,指導者の部屋,Stanza del comandante,Habitación del líder
대학 복도,University Corridor,大学の廊下,Corridoio dell’università,Pasillo de la universidad
교수실,Professor's Office,教授室,Ufficio del professore,Despacho del profesor
하수구,Drain,下水溝,Scarico,Desagüe
등대,Lighthouse,灯台,Faro,Faro
사다리,Ladder,はしご,Scala,Escalera
씨뿌리기 완료!,Seed sowing complete!,種まき完了！,Semina completata!,¡Plantación completada!
물 주기 완료!,Watering complete!,水やり完了！,Irrigazione completata!,¡Regado completado!
수확 완료!,Harvesting complete!,収穫完了！,Raccolta completata!,¡Recolección completada!
문단속,Lock Up,施錠,Blocca,Encerrar
인증 코드,Authentication Code,認証コード,Codice di autenticazione,Código de autenticación
배 수리,Repair ship,船の修理,Riparazione navale,Reparar barco
수레 배달,Cart Delivery,台車配達,Consegna del carrello,Entregar carretilla
숟가락,Spoon,スプーン,Cucchiaio,Cuchara
노끈,String,紐,Corda,Cuerda
고장난 부품,Broken Part,故障した部品,Pezzo rotto,Pieza rota
오류!,Error!,エラー！,Errore!,¡Error!
라디오,Radio,ラジオ,Radio,Radio
볼트,Bolt,ボルト,Bullone,Tornillo
해조류 쥬스,Seaweed Juice,海藻ジュース,Succo di alghe,Zumo de algas
고급 해조류,Premium Seaweed,高級海藻,Alghe premium,Alga de calidad
설탕,Sugar,砂糖,Zucchero,Azúcar
하늘 식초,Sky Vinegar,ソラ酢,Aceto del cielo,Vinagre célico
하늘 구경,Sky Watching,空見,Guardare il cielo,Observador
장사꾼,Merchant,商人,Mercante,Mercante
체스 말,Knight,チェスの駒,Cavallo,Caballo
구리 선,Copper Wire,銅線,Filo di rame,Cable de cobre
강철문 비밀번호,Steel Door Password,鋼鉄の扉の暗証番号,Password della porta d’acciaio,Contraseña Portón de acero
코인,Coin,コイン,Moneta,Moneda
과일,Fruit,果物,Frutto,Fruta
씨뿌리기,Sow Seeds,種まき,Semina,Sembrar semillas
물 주기,Give water x time(s),水やり,Irriga x volte,Veces a regar: x
수확하기,Harvest,収穫する,Raccolto,Recolectar
라이터,Lighter,ライター,Accendino,Mechero
창고 열쇠,Warehouse Key,倉庫の鍵,Chiave del magazzino,Llave del almacén
쇠지렛대,Crowbar,鉄製てこ,Piede di porco,Palanca
해조류 채집,Collect Seaweed,海藻採集,Raccogli le alghe,Recoger alga
불 지르기,Set Fire,火をつける,Appicca il fuoco,Incendiar
출입카드,Access Card,アクセスカード,Scheda di accesso,Tarjeta de acceso
이송,Transfer,移送,Trasferisci,Transferir
물건 20개 옮기기,Move 20,物を20個移す,Sposta 20,Mover 20
의사 모셔오기,Bring a doctor,医者を呼ぶ,Porta un dottore,Llamar a un médico
수리,Repair,修理,Ripara,Reparar
공장장과 대화,Conversation with the plant manager,工場長と会話,Conversazione con il direttore della centrale,Conversación con el supervisor de la plantación
닻 관리인과 대화,Talk to the Anchor Manager,錨管理人と会話,Parla con il responsabile dell’ancora,Habla con el supervisor del ancla
잠수함 열쇠,Submarine Key,潜水艦の鍵,Chiave del sottomarino,Llave del submarino
비상구역 활성화,Activate Emergency Zone,非常区域活性化,Attiva la zona di emergenza,Activar el estado de emergencia
수면제 획득,Obtain Sleeping Pill,睡眠剤獲得,Procurati una pillola di sonnifero,Obtener somnífero
음료수 획득,Obtain Beverage,ドリンク獲得,Procurati una bevanda,Obtener bebida
관리자 재우기,Put Manager to sleep,管理者を眠らせる,Addormenta il responsabile,Dormir al supervisor
잠수함 열쇠 획득!,You've got a Submarine Key!,潜水艦の鍵獲得！,Hai ottenuto una chiave del sottomarino!,¡Has obtenido: llave del submarino!
농부동료와 대화,Conversation with a farming coworker,農民同僚と会話,Conversazione con un collega della fattoria,Conversación con un compañero
알약 획득,Obtain Pill,錠剤獲得,Procurati la pillola,Obtener pastilla
관리자 간부,Executive Manager,管理者幹部,Direttore esecutivo,Jefe
농부동료,Farming Coworker,農民の同僚,Collega della fattoria,Compañero de granja
농부동료 독살,Poison Farming Coworker,農民の同僚毒殺,Avvelena il collega della fattoria,Envenenar al compañero
술에 약을 타기,Spike the drink,酒に薬を入れる,Correggi il drink,Adulterar la bebida
시체 옮기기,Move Dead Body,死体を移す,Sposta il cadavere,Mover cadáver
기록 삭제,Delete Recording,記録削除,Cancella la registrazione,Eliminar grabación
술에 수면제 타기,Mix the sleeping pill into the drink,酒に睡眠剤を入れる,Mescola la pillola di sonnifero nel drink,Mezclar el somnífero con la bebida
가드 옮기기,Move Dead Security Guard,ガードを移す,Sposta la guardia di sicurezza morta,Mover el cadáver del guardia de seguridad
공장 브로치 필요 !,You need a factory brooch!,工場のブローチ必要！,Hai bisogno di una spilla della fabbrica!,¡Necesitas un broche de fábrica!
비상구역 활성화 완료 !,Emergency Zone activation complete!,非常区域活性化完了！,Attivazione della zona di emergenza completata!,¡Estado de emergencia activado!
컴퓨터 수리 완료 !,Computer repair complete!,コンピューター修理完了！,Riparazione del computer completata!,¡Reparación del ordenador completada!
배 수리 완료 !,Ship repair complete!,船修理完了！,Riparazione della nave completata!,¡Reparación del barco completada!
관계자외 출입금지,Staff Only,関係者以外立ち入り禁止,Riservato al personale,Solo personal autorizado
수레 배달완료 !,Cart Delivery complete!,台車配達完了！,Consegna del carrello completata!,¡Carretilla entregada!
물뿌리개가 필요합니다.,You need a Watering Can.,じょうろが必要です。,Hai bisogno di un annaffiatoio.,Necesitas una regadera
레버 작동 완료 !,Lever activation complete!,レバー作動完了！,Attivazione della leva completata!,¡Palanca activada!
레버 수리 완료 !,Lever repair complete!,レバー修理完了！,Riparazione della leva completata!,¡Reparación de la palanca completa!
퀘스트 획득!,Quest obtained!,クエスト獲得！,Missione ottenuta!,¡Nueva misión!
제작 완료!,Crafting complete!,製作完了！,Forgiatura completata!,¡Creación completada!
숟가락 획득!,You got a Spoon!,スプーン獲得！,Hai ottenuto un cucchiaio!,¡Has obtenido: cuchara!
노끈 획득!,You got String!,紐獲得！,Hai ottenuto una corda!,¡Has obtenido: cuerda!
고장난 부품 획득!,You got a Broken Part!,故障した部品獲得！,Hai ottenuto un pezzo rotto!,¡Has obtenido: pieza rota!
오류!,Error!,エラー！,Errore!,¡Error!
해조류 쥬스 획득!,You got Seaweed Juice!,海藻ジュース獲得！,Hai ottenuto il succo di alghe!,¡Has obtenido: zumo de algas!
라디오 획득!,You got a Radio!,ラジオ獲得！,Hai ottenuto una radio!,¡Has obtenido: radio!
체스 말 획득!,You got a Knight!,チェスの駒獲得！,Hai ottenuto un cavallo!,¡Has obtenido: caballo!
볼트 획득!,You got a Bolt!,ボルト獲得！,Hai ottenuto un bullone!,¡Has obtenido: tornillo!
제조 실패 !,Failed!,製造失敗！,Hai fallito!,¡Fallo!
고급 해조류 획득!,You got Premium Seaweed!,高級海藻獲得！,Hai ottenuto le alghe premium!,¡Has obtenido: alga de calidad!
아직 이용할 수 없어.,You can't go there yet.,まだ使えない,Non puoi ancora andare lì.,No puedes ir todavía.
구리선 획득!,You got a Copper Wire!,銅線獲得！,Hai ottenuto un filo di rame!,¡Has obtenido: cable de cobre!
설탕 획득!,You got Sugar!,砂糖獲得！,Hai ottenuto lo zucchero!,¡Has obtenido: azúcar!
2코인 획득!,You got 2 Coins!,2コイン獲得！,Hai ottenuto 2 monete!,¡Has obtenido: 2 monedas!
제조 성공!,Success!,製造成功！,Ci sei riuscito!,¡Éxito!
편지 획득,You got a Letter,手紙獲得,Hai ottenuto una lettera!,Has obtenido: carta.
교인 신분증 획득!,You got a Devotee's ID!,信徒証明書獲得！,Hai ottenuto un identificativo di devoto!,¡Has obtenido: carné de devoto!
농부 브로치 획득!,You got a Farmer's Brooch!,農民のブローチ獲得！,Hai ottenuto una spilla di contadino!,¡Has obtenido: broche de granjero!
빨간 브로치 획득!,You got a Red Brooch!,赤いブローチ獲得！,Hai ottenuto una spilla rossa!,¡Has obtenido: broche rojo!
과일 획득!,You got fruit!,果物獲得！,Hai ottenuto un frutto!,¡Has obtenido: fruta!
물뿌리개 획득!,You got a Watering Can!,水やり獲得！,Hai ottenuto un annaffiatoio!,¡Has obtenido: regadera!
정식농부 자격 획득!,You got an Official Farmer Certificate! ,正式農民資格獲得！,Hai ottenuto un certificato di contadino ufficiale! ,¡Has obtenido: certificado de maestro granjero! 
라이터 획득!,You got a Lighter!,ライター獲得！,Hai ottenuto un accendino!,¡Has obtenido: mechero!
쇠지렛대 획득!,You got a Crowbar!,鉄製てこ獲得！,Hai ottenuto un piede di porco!,¡Has obtenido: palanca!
창고 열쇠 획득!,You got a Warehouse Key!,倉庫の鍵獲得！,Hai ottenuto una chiave del magazzino!,¡Has obtenido: llave del almacén!
지도 획득!,You got a Map!,地図獲得！,Hai ottenuto una mappa!,¡Has obtenido: mapa!
감시 중...,Watching...,監視中…,Guardando...,Observando...
출입카드 획득!,You got an Access Card!,アクセスカード獲得！,Hai ottenuto una scheda di accesso!,¡Has obtenido: tarjeta de acceso!
공장 브로치 획득!,You got a Factory Brooch!,工場のブローチ獲得！,Hai ottenuto una spilla della fabbrica!,¡Has obtenido: broche de fábrica!
퀘스트 획득!,You got a Quest!,クエスト獲得！,Hai ottenuto una missione!,¡Has obtenido: misión!
엔지니어 브로치 획득!,You got an Engineer's Brooch!,エンジニアのブローチ獲得！,Hai ottenuto una spilla di ingegnere!,¡Has obtenido: broche de ingeniero!
심박동기 고장 완료!,Pacemaker broken!,ペースメーカー故障完了！,Pacemaker rotto!,¡Monitor roto!
수면제 획득!,You got a Sleeping Pill!,睡眠剤獲得！,Hai ottenuto una pillola di sonnifero!,¡Has obtenido: somnífero!
음료수 획득!,You got a Beverage!,ドリンク獲得！,Hai ottenuto una bevanda!,¡Has obtenido: bebida!
음료수 제조 성공!,You've successfully made a beverage!,ドリンク作り成功！,Hai creato correttamente una bevanda!,¡Has creado una bebida!
잠재우기 완료!,Put to sleep complete!,眠らせ完了！,Missione addormenta completata!,¡A dormir completado!
잠수함 열쇠 획득!,You got a Submarine Key!,潜水艦の鍵獲得！,Hai ottenuto una chiave del sottomarino!,¡Has obtenido: llave del submarino!
하늘식초 획득!,You got a bottle of Sky Vinegar!,ソラ酢獲得！,Hai ottenuto una bottiglia di aceto del cielo!,¡Has obtenido: vinagre célico!
씨 뿌리기 완료!,Seed Sowing complete!,種まき完了！,Semina completata!,¡Plantación completada!
물 주기 완료!,Watering complete!,水やり完了！,Irrigazione completata!,¡Regado completado!
수확 완료!,Harvesting complete!,収穫完了！,Raccolta completata!,¡Recolección completada!
박스 옮기기 완료!,Box moving complete!,箱移し完了！,Spostamento di scatole completato!,¡Cajas completadas!
해조류 획득 !,You got Seaweed!,海藻獲得！,Hai ottenuto delle alghe!,¡Has obtenido: algas!
알약 획득 !,You got a Pill!,錠剤獲得！,Hai ottenuto una pillola!,¡Has obtenido: pastilla!
약 제조법 획득 !,You got a Drug Recipe!,薬製造法獲得！,Hai ottenuto una ricetta del farmaco!,¡Has obtenido: receta de droga!
관리자 관부와 함께 !,With the Executive Manager!,管理者幹部と一緒に！,Con il direttore esecutivo!,¡Con el jefe!
농부 동료와 함께 !,With a Fellow Farmer!,農民の同僚と一緒に！,Con un compagno contadino!,¡Con un compañero granjero!
독약 제조 성공 !,You've successfully made Poison!,毒薬製造成功！,Hai creato correttamente del veleno!,¡Has creado veneno!
독약 섞기 완료 !,You've mixed poison!,毒薬混合完了！,Hai mescolato il veleno!,¡Has mezclado el veneno!
시체 옮기기 완료 !,You've moved the Dead Body!,死体移し完了！,Hai spostato il corpo morto!,¡Has movido el cadáver!
기록 삭제 완료 !,You've deleted the Recording!,記録削除完了！,Hai cancellato la registrazione!,¡Has borrado la grabación!
인증코드 획득 !,You got the Authentication Code Book!,認証コード獲得！,Hai ottenuto il codice di autenticazione!,¡Has conseguido el libro de códigos!
문 막기 완료 !,You've blocked the door!,扉を塞いだ！,Hai bloccato la porta!,¡Has bloqueado la puerta!
수면제 타기 완료 !,You've spiked a drink!,睡眠剤投入完了！,Hai corretto il drink!,¡Has adulterado la bebida!
가드 숨기기 완료 !,You've hidden the Dead Security Guard!,ガード隠し完了！,Hai nascosto la guardia di sicurezza morta!,¡Has escondido el cadáver del guardia de seguridad!
갑자기 무슨 일이지??,What's happening?,急にどうしたんだ？？,Cosa sta succedendo?,¿Qué está pasando?
관리자의 부탁을 들어준다면 나에게 도움이 될까?,Would it benefit me if I do a favor for a manager?,管理者の頼みを聞いてあげたら僕のためにもなるのかな？,Mi sarebbe d’aiuto se facessi un favore al direttore?,¿Sacaré algo si le hago un favor al supervisor?
레버를 고치면 램프타운으로 갈 수 있을까?,Will I be able to go to Lamp Town if I repair the lever?,レバーを直せばランプタウンにいけるかな？,Potrò andare a Lamp Town dopo aver riparato la leva?,¿Podré ir hasta Ciudad Farol si arreglo la palanca?
배달이라고?? 이게뭐지....,A delivery?? What is this...,配達？？なんだこれは…,Una consegna?? Di cosa si tratta...,¿Una entrega? ¿Qué es...?
보통 x끼가 아님은 분명하다...,He's one hell of a guy for sure...,普通のやつでないことは確かだ…,È certamente un tipo in gamba...,Menudo tipo está hecho...
체스 말이 왜 필요할까???,Why do I need to get a Knight chess piece?,なぜチェスの駒が必要なんだ？？？,Perché devo prendere una pezzo cavallo degli scacchi?,¿Por qué necesito un caballo?
어둠으로 모든 것을 가릴 수는 없다.,Darkness can't hide everything.,暗闇では隠しきれない。,L'oscurità non può nascondere tutto.,La oscuridad no lo oculta todo.
교주는 어떤 사람이지? 스카이 타운은 도대체 뭐지?,What kind of person is this religious leader? What is Sky Town?,教祖はどんな人なんだろ？スカイタウンはいったいなんだ？,Che tipo di persona è questo leader religioso? Cos'è Sky Town?,¿Qué tipo de persona es este líder religioso? ¿Qué es Ciudad Célica?
월급도 안주면서 돈도 구해오라니...,He didn't even give me my paycheck and now he wants me to bring him money...?,給料もくれないくせに金の用意も頼まれるなんて…,Non mi ha nemmeno dato lo stipendio e ora pretende che gli porti dei soldi...?,No me ha pagado por el trabajo y encima quiere que le pague la bebida.
거꾸로 말한다고?? 무슨말이지?,He talks backwards?? Huh?,うん？反対のことを話す？？どういうこと？,Parla alla rovescia?? Eh?,"Habla al revés, ¿eh?"
사과는 맛있어 맛있으면 바나나?,"A red apple is yummy, yummy like a banana...?",赤いリンゴに～口びるよせて～,"Una mela rossa è golosa, golosa come una banana...?","La manzana roja es sabrosa, pero ¿sabrosa como la banana?"
농부가 되는 것도 나쁘지 않을지도?,Might not be that bad to become a farmer.,農民になることも悪くないのかな？,Potrebbe non essere così male diventare un contadino.,No es tan mala idea ser granjero.
불을 지르는 것이 최선의 선택일까?,Setting it on fire... Is that the best decision?,火をつけることがベストなのか？,Appiccare un incendio... Che sia la decisione migliore?,¿Seguro que incendiarlo es la mejor decisión?
5개만 채집하면 된다 이거지...,So I just need to collect five of them...,５つ採集すればいいんだよな…,Devo quindi solamente raccoglierne cinque...,Así que tengo que recoger cinco...
어쩔 수 없지 일단 저질러 보자.,I have no choice. Let's just do it.,仕方がない。とりあえずやっちゃおう。,Non ho scelta. Facciamolo e basta.,No tengo más opción. A ello.
출입카드만 구하면 위로 올라갈 수 있어!,I need an Access Card to go up!,アクセスカードさえあれば上に行ける！,Ho bisogno di una scheda di accesso per salire!,¡Necesito una tarjeta de acceso para subir!
이 사람은 또 누굴까?,Now who's this person?,この人は誰だ？,Chi è ora questa persona?,¿Quién es esta persona?
물건이 내려오는 타이밍이 중요하겠어....,Timing's gonna be important...,物が下りてくるタイミングが大事だな…,Il tempismo sarà importante...,Tiene que ser en el momento perfecto...
공장 입구에 병원이 있었던거 같아..,I think there was a hospital at the entrance of the factory...,工場の入り口に病院があった気がする…,Penso che ci fosse un ospedale all'ingresso della fabbrica...,Creo que había un hospital en la entrada de la fábrica.
내가 컴퓨터를 만질 수 있을까?,Will I be able to use this computer properly?,コンピューターを操作できるかな…,Sarò in grado di utilizzare questo computer nel modo giusto?,¿Sabré usar este ordenador?
탈출의 시작.... 일이 잘 마무리 되길,It's the beginning of the escape... I hope it all goes well.,脱出の始まり…うまくいきますように。,È l'inizio della fuga... Spero che tutto vada per il meglio.,El comienzo de la huida... Espero que vaya todo bien.
어디로든 우선 빠져나가보자...,Doesn't matter which way... Let's just get out of here first... ,どこでもいいからとりあえず抜け出してみよう…,Non importa da che parte... Usciamo prima da qui... ,Da igual qué camino coger con tal de salir de aquí... 
"비상구역을 활성화 하고, 열쇠도 찾아야 한다...",I need to activate the Emergency Zone and find the key as well...,非常区域を活性化させて、鍵も探さなければ…,Devo attivare l’area di emergenza e trovare anche la chiave...,Tengo que activar el estado de emergencia y encontrar la llave...
과수원에서부터 밭까지,From the orchard to the field,果樹園から畑まで,Dal frutteto al campo,Del vergel al campo
이곳의 끝은 어디일까....,I don't see an end to this place...,どこまで続いてる？…,Questo posto mi sembra non finire mai...,Este lugar no se acaba nunca.
약은 약사에게?!,Consult a pharmacist for medicine?!,医薬分業。お薬は薬剤師に？！,Consultare un farmacista per la medicina?!,¿Pedirle a un boticario medicinas?
삶과 죽음의 순간.,Moment of life and death.,生と死の瞬間,Momento di vita e di morte.,Momento de vida o muerte.
침묵은 금이 아니라 독이다.,"Silence isn't golden, it's poison.",沈黙は金じゃなくて毒なり。,"Il silenzio non è d'oro, è veleno.","El silencio no es oro, es veneno."
